2024.02.05,03:30,2031.410,2031.580,2030.337,2031.467,827
2024.02.05,03:45,2031.465,2032.490,2030.803,2032.266,861
2024.02.05,04:00,2032.212,2032.987,2031.532,2032.425,731
2024.02.05,04:15,2032.427,2033.295,2032.317,2032.595,667
2024.02.05,04:30,2032.643,2032.844,2031.514,2031.732,693
2024.02.05,04:45,2031.731,2032.320,2031.614,2031.942,680
2024.02.05,05:00,2031.944,2031.944,2029.542,2030.384,962
2024.02.05,05:15,2030.382,2031.725,2030.103,2031.043,896
2024.02.05,05:30,2030.999,2031.994,2029.293,2030.754,1124
2024.02.05,05:45,2030.755,2030.878,2028.874,2029.724,950
2024.02.05,06:00,2029.720,2030.676,2029.097,2029.313,907
2024.02.05,06:15,2029.274,2030.746,2029.041,2030.548,774
2024.02.05,06:30,2030.558,2030.678,2026.719,2030.123,1154
2024.02.05,06:45,2030.110,2031.201,2029.851,2030.860,946
2024.02.05,07:00,2030.881,2031.475,2028.405,2029.003,1137
2024.02.05,07:15,2029.054,2029.673,2026.770,2027.884,1224
2024.02.05,07:30,2027.883,2029.672,2027.078,2028.667,1071
2024.02.05,07:45,2028.661,2028.954,2027.107,2027.502,1017
2024.02.05,08:00,2027.556,2027.695,2024.565,2024.971,1307
2024.02.05,08:15,2024.918,2025.207,2022.975,2023.233,1278
2024.02.05,08:30,2023.182,2023.970,2021.465,2023.386,1248
2024.02.05,08:45,2023.355,2023.655,2022.340,2023.460,1045
2024.02.05,09:00,2023.409,2024.186,2022.891,2023.233,1051
2024.02.05,09:15,2023.177,2023.463,2021.215,2021.612,1040
2024.02.05,09:30,2021.660,2022.137,2020.584,2022.118,1000
2024.02.05,09:45,2022.156,2022.903,2021.334,2022.686,937
2024.02.05,10:00,2022.661,2023.684,2022.262,2023.209,945
2024.02.05,10:15,2023.200,2024.076,2022.249,2023.714,938
2024.02.05,10:30,2023.689,2024.906,2023.632,2024.533,1023
2024.02.05,10:45,2024.506,2025.239,2024.187,2024.408,879
2024.02.05,11:00,2024.448,2025.788,2024.043,2025.549,851
2024.02.05,11:15,2025.608,2026.186,2024.959,2026.114,852
2024.02.05,11:30,2026.133,2027.290,2025.509,2027.290,912
2024.02.05,11:45,2027.321,2028.375,2027.191,2027.577,991
2024.02.05,12:00,2027.580,2028.018,2025.708,2026.258,1018
2024.02.05,12:15,2026.218,2026.241,2024.850,2025.296,921
2024.02.05,12:30,2025.304,2025.338,2022.748,2023.190,1007
2024.02.05,12:45,2023.187,2023.954,2022.618,2022.627,984
2024.02.05,13:00,2022.581,2022.701,2021.140,2021.822,1369
2024.02.05,13:15,2021.769,2022.338,2016.358,2017.323,1840
2024.02.05,13:30,2017.256,2019.317,2016.594,2017.436,1788
2024.02.05,13:45,2017.439,2018.129,2014.892,2015.863,1569
2024.02.05,14:00,2015.899,2017.135,2014.818,2016.263,1541
2024.02.05,14:15,2016.294,2018.059,2014.899,2017.334,1407
2024.02.05,14:30,2017.308,2019.302,2017.042,2017.373,1804
2024.02.05,14:45,2017.419,2023.736,2017.419,2023.586,2050
2024.02.05,15:00,2023.562,2023.562,2016.823,2019.863,3633
2024.02.05,15:15,2019.892,2020.638,2017.500,2019.283,2182
2024.02.05,15:30,2019.329,2020.224,2016.432,2017.092,1706
2024.02.05,15:45,2017.042,2018.031,2015.427,2017.790,1569
2024.02.05,16:00,2017.746,2019.885,2017.720,2019.380,1364
2024.02.05,16:15,2019.369,2020.433,2018.461,2020.216,1197
2024.02.05,16:30,2020.267,2022.430,2020.267,2020.909,1269
2024.02.05,16:45,2020.940,2022.255,2020.426,2022.128,1054
2024.02.05,17:00,2022.131,2023.488,2021.982,2022.755,1058
2024.02.05,17:15,2022.706,2023.332,2021.306,2023.120,1032
2024.02.05,17:30,2023.169,2025.609,2022.963,2025.404,1109
2024.02.05,17:45,2025.451,2026.404,2024.870,2025.555,1109
2024.02.05,18:00,2025.604,2026.853,2025.402,2026.388,1009
2024.02.05,18:15,2026.447,2026.769,2025.347,2026.465,1047
2024.02.05,18:30,2026.534,2027.033,2025.333,2025.835,910
2024.02.05,18:45,2025.863,2026.584,2025.574,2025.875,903
2024.02.05,19:00,2025.925,2027.489,2025.045,2026.927,940
2024.02.05,19:15,2026.938,2027.197,2025.970,2026.469,830
2024.02.05,19:30,2026.468,2027.008,2026.011,2026.065,824
2024.02.05,19:45,2026.067,2026.934,2025.755,2025.927,854
2024.02.05,20:00,2025.897,2026.382,2024.198,2024.331,922
2024.02.05,20:15,2024.352,2025.178,2023.913,2025.080,844
2024.02.05,20:30,2025.051,2026.147,2025.038,2025.732,743
2024.02.05,20:45,2025.782,2026.113,2024.887,2024.950,827
2024.02.05,21:00,2024.999,2025.113,2024.262,2024.925,582
2024.02.05,21:15,2024.934,2024.994,2024.061,2024.306,422
2024.02.05,21:30,2024.305,2024.862,2024.153,2024.785,335
2024.02.05,21:45,2024.760,2024.990,2024.521,2024.667,316
2024.02.05,23:01,2024.570,2025.150,2024.191,2024.327,411
2024.02.05,23:16,2024.314,2025.007,2023.707,2023.873,480
2024.02.05,23:31,2023.882,2024.849,2023.438,2024.764,442
2024.02.05,23:46,2024.794,2024.990,2024.645,2024.860,291
2024.02.06,00:00,2024.809,2025.577,2024.809,2025.238,603
2024.02.06,00:15,2025.233,2026.470,2025.183,2026.197,602
2024.02.06,00:30,2026.210,2027.157,2026.020,2026.888,643
2024.02.06,00:45,2026.941,2027.574,2026.814,2026.817,662
2024.02.06,01:00,2026.818,2028.587,2026.818,2027.945,946
